ParkResidence上野,2020年4月,14階,53.11㎡,4710万円
ブランズ渋谷,2020年4月,20階,35.21㎡,2980万円
Gran千代田ハウス,2020年4月,11階,34.13㎡,4330万円
グリーン・ホームズ・亀戸,2020年4月,15階,19.73㎡,2450万円
Parkレジデンス上野,2020年4月,17階,53.36㎡,4910万円
勝どきRiverSideTower,2020年4月,12階,65.59㎡,7340万円
LionsMansion東京,2020年4月,2階,22.40㎡,2690万円
LionsHouse千代田,2020年4月,13階,34.15㎡,3010万円
パークHills新宿,2020年4月,1階,69.60㎡,8960万円
Lionsマンション東京,2020年4月,17階,51.42㎡,6290万円
ガーデンヒルズ広尾,2020年4月,8階,32.72㎡,3850万円
プラウド上野ハウス,2020年4月,5階,18.60㎡,2030万円
ヒルズ・高輪,2020年4月,6階,47.35㎡,4370万円
プラウドTower豊洲,2020年4月,11階,67.07㎡,8650万円
Branz高輪タワー,2020年4月,3階,44.11㎡,5260万円
シティータワー豊洲,2020年4月,2階,34.71㎡,3790万円
グラン千代田ハウス,2020年4月,7階,41.06㎡,4370万円
crest下井草,2020年4月,8階,30.71㎡,2950万円
Parkレジデンス上野,2020年4月,2階,60.01㎡,5910万円
ライオンズ・タワー東京,2020年4月,9階,33.28㎡,2970万円
グラン千代田House,2020年4月,20階,17.04㎡,1540万円
勝どきリバー・サイドTower,2020年4月,7階,21.32㎡,2730万円
HillsTower上野,2020年4月,11階,68.38㎡,8270万円
Parkヒルズ新宿,2020年4月,11階,59.05㎡,5790万円
LionsTower東京,2020年4月,1階,11.64㎡,1160万円
グリーンホームズ亀戸,2020年4月,10階,44.22㎡,4210万円
ParkHills新宿,2020年4月,8階,43.88㎡,3520万円
プラウド豊洲タワー,2020年4月,9階,31.00㎡,3310万円
パークヒルズ新宿,2020年4月,16階,13.27㎡,1470万円
銀座GardenCity,2020年4月,12階,11.58㎡,1260万円
クレスト下井草,2020年4月,5階,38.06㎡,4830万円
パークHills新宿,2020年4月,14階,12.27㎡,1160万円
ライオンズハウス千代田,2020年4月,6階,50.26㎡,5350万円
クレストHouse広尾,2020年4月,14階,42.39㎡,3440万円
ブランズ高輪Tower,2020年4月,9階,41.89㎡,4000万円
勝どきリバー・サイドタワー,2020年4月,19階,69.58㎡,6580万円
勝どきリバー・サイドTower,2020年4月,19階,12.88㎡,1630万円
Gran千代田ハウス,2020年4月,4階,43.29㎡,3890万円
ヒルズ上野タワー,2020年4月,19階,57.88㎡,6400万円
Crestハウス広尾,2020年4月,6階,62.53㎡,7210万円
ヒルズ・高輪,2020年4月,14階,48.40㎡,4920万円
GreenHomes亀戸,2020年4月,14階,61.07㎡,5800万円
シティータワー豊洲,2020年4月,20階,50.06㎡,4500万円
Crestハウス広尾,2020年4月,2階,42.35㎡,5110万円
ブランズ高輪Tower,2020年4月,10階,48.11㎡,4890万円
ヒルズタワー上野,2020年4月,13階,56.43㎡,5580万円
CrestHouse広尾,2020年4月,17階,45.68㎡,4700万円
クレストHouse広尾,2020年4月,8階,35.50㎡,2840万円
プラウド豊洲Tower,2020年4月,6階,18.09㎡,1750万円
スカイ新宿Tower,2020年4月,15階,67.79㎡,5930万円
